S.No,data,type,sensedAt,id_sensor
328,2940.5,co2-concentration,2025-06-17T10:32:21,66ce6057fb392de5096aca27
329,29,temp,2025-06-17T10:32:21,66ce6057fb392de5096aca27
330,56,humidity,2025-06-17T10:32:21,66ce6057fb392de5096aca27
331,3134.83,co2-concentration,2025-06-17T10:35:24,66ce6057fb392de5096aca27
332,30,temp,2025-06-17T10:35:24,66ce6057fb392de5096aca27
333,54,humidity,2025-06-17T10:35:24,66ce6057fb392de5096aca27
334,3134.83,co2-concentration,2025-06-17T10:38:26,66ce6057fb392de5096aca27
335,29,temp,2025-06-17T10:38:26,66ce6057fb392de5096aca27
336,56,humidity,2025-06-17T10:38:26,66ce6057fb392de5096aca27
337,3134.83,co2-concentration,2025-06-17T10:41:29,66ce6057fb392de5096aca27
338,30,temp,2025-06-17T10:41:29,66ce6057fb392de5096aca27
339,55,humidity,2025-06-17T10:41:29,66ce6057fb392de5096aca27
340,3336.96,co2-concentration,2025-06-17T10:44:31,66ce6057fb392de5096aca27
341,29,temp,2025-06-17T10:44:31,66ce6057fb392de5096aca27
342,56,humidity,2025-06-17T10:44:31,66ce6057fb392de5096aca27
343,3234.91,co2-concentration,2025-06-17T10:47:33,66ce6057fb392de5096aca27
344,29,temp,2025-06-17T10:47:33,66ce6057fb392de5096aca27
345,56,humidity,2025-06-17T10:47:33,66ce6057fb392de5096aca27
346,3234.91,co2-concentration,2025-06-17T10:50:36,66ce6057fb392de5096aca27
347,29,temp,2025-06-17T10:50:36,66ce6057fb392de5096aca27
348,56,humidity,2025-06-17T10:50:36,66ce6057fb392de5096aca27
349,3234.91,co2-concentration,2025-06-17T10:53:38,66ce6057fb392de5096aca27
350,29,temp,2025-06-17T10:53:38,66ce6057fb392de5096aca27
351,56,humidity,2025-06-17T10:53:38,66ce6057fb392de5096aca27
352,3134.83,co2-concentration,2025-06-17T10:56:40,66ce6057fb392de5096aca27
353,29,temp,2025-06-17T10:56:40,66ce6057fb392de5096aca27
354,56,humidity,2025-06-17T10:56:40,66ce6057fb392de5096aca27
355,3134.83,co2-concentration,2025-06-17T10:59:43,66ce6057fb392de5096aca27
356,29,temp,2025-06-17T10:59:43,66ce6057fb392de5096aca27
357,56,humidity,2025-06-17T10:59:43,66ce6057fb392de5096aca27
358,3134.83,co2-concentration,2025-06-17T11:02:45,66ce6057fb392de5096aca27
359,30,temp,2025-06-17T11:02:45,66ce6057fb392de5096aca27
360,54,humidity,2025-06-17T11:02:45,66ce6057fb392de5096aca27
361,3134.83,co2-concentration,2025-06-17T11:05:48,66ce6057fb392de5096aca27
362,30,temp,2025-06-17T11:05:48,66ce6057fb392de5096aca27
363,54,humidity,2025-06-17T11:05:48,66ce6057fb392de5096aca27
364,2940.5,co2-concentration,2025-06-17T11:08:50,66ce6057fb392de5096aca27
365,29,temp,2025-06-17T11:08:50,66ce6057fb392de5096aca27
366,56,humidity,2025-06-17T11:08:50,66ce6057fb392de5096aca27
367,3134.83,co2-concentration,2025-06-17T11:11:52,66ce6057fb392de5096aca27
368,29,temp,2025-06-17T11:11:52,66ce6057fb392de5096aca27
